ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000001600,-7.0
ZINC000000001600,-6.8
ZINC000000001600,-6.8
ZINC000000001600,-6.7
ZINC000000001600,-6.8
ZINC000000001601,-6.8
ZINC000000001601,-6.8
ZINC000000001601,-6.7
ZINC000000001601,-6.2
ZINC000000001612,-7.6
ZINC000000001612,-7.6
ZINC000000001612,-7.6
ZINC000000001612,-7.6
ZINC000000001612,-7.7
ZINC000000001612,-7.6
ZINC000000001644,-6.2
ZINC000000001655,-7.5
ZINC000000001655,-9.0
ZINC000000001655,-8.1
ZINC000000001655,-8.3
ZINC000000001655,-8.2
ZINC000000001655,-9.2
ZINC000000001672,-8.2
ZINC000000001672,-8.1
ZINC000000001672,-8.1
ZINC000000001672,-8.4
ZINC000000001672,-7.8
ZINC000000001672,-8.0
ZINC000000001672,-8.2
ZINC000000001672,-8.3
ZINC000000001672,-8.3
ZINC000000001672,-8.1
ZINC000000001672,-7.8
ZINC000000001673,-6.6
ZINC000000001673,-6.6
ZINC000000001673,-6.7
ZINC000000001673,-6.6
ZINC000000001673,-6.7
ZINC000000001677,-7.8
ZINC000000001681,-6.4
ZINC000000001681,-6.7
ZINC000000001681,-6.8
ZINC000000001681,-6.7
ZINC000000001682,-8.4
ZINC000000001682,-8.4
ZINC000000001682,-8.5
ZINC000000001682,-7.9
ZINC000000001682,-7.8
ZINC000000001682,-8.6
ZINC000000001682,-8.1
ZINC000000001682,-8.4
ZINC000000001682,-8.6
ZINC000000001682,-7.6
ZINC000000001682,-7.7
ZINC000000001684,-5.3
ZINC000000001688,-6.2
ZINC000000001695,-6.0
ZINC000000001695,-6.0
ZINC000000001695,-6.0
ZINC000000001695,-6.0
ZINC000000001695,-6.1
ZINC000000001695,-6.0
ZINC000000001706,-5.2
ZINC000000001706,-5.2
ZINC000000001728,-6.9
ZINC000000001728,-7.1
ZINC000000001728,-6.9
ZINC000000001728,-7.0
ZINC000000001728,-6.8
ZINC000000001728,-7.1
ZINC000000001728,-7.0
ZINC000000001728,-7.0
ZINC000000001735,-6.6
ZINC000000001748,-7.7
ZINC000000001758,-8.3
ZINC000000001758,-8.4
ZINC000000001758,-8.3
ZINC000000001758,-8.3
ZINC000000001758,-8.3
ZINC000000001773,-7.4
ZINC000000001773,-7.7
ZINC000000001792,-6.7
ZINC000000001795,-5.7
ZINC000000001798,-6.1
ZINC000000001798,-5.9
ZINC000000001850,-7.9
ZINC000000001850,-8.5
ZINC000000001850,-8.0
ZINC000000001850,-8.8
ZINC000000001850,-8.7
ZINC000000001850,-8.7
ZINC000000001850,-7.8
ZINC000000001850,-8.9
ZINC000000001850,-8.8
ZINC000000001885,-5.3
ZINC000000001886,-4.6
ZINC000000001894,-7.6
ZINC000000001894,-8.0
ZINC000000001898,-8.1
ZINC000000001898,-7.7
ZINC000000001898,-7.9
ZINC000000001898,-7.7
ZINC000000001898,-8.1
ZINC000000001898,-7.9
ZINC000000001898,-7.7
ZINC000000001899,-6.3
ZINC000000001899,-6.1
ZINC000000001899,-6.1
ZINC000000001899,-6.4
ZINC000000001899,-5.9
ZINC000000001899,-6.0
ZINC000000001899,-6.2
ZINC000000001899,-6.2
ZINC000000001899,-6.1
ZINC000000001899,-6.3
ZINC000000001899,-6.2
ZINC000000001916,-6.9
ZINC000000001916,-7.3
ZINC000000001916,-7.2
ZINC000000001916,-6.9
ZINC000000001930,-5.7
ZINC000000001930,-5.7
ZINC000000001930,-5.8
ZINC000000001931,-7.9
ZINC000000001931,-7.9
